"ChIJ2dQBPTDLgYARJwo9Hr_rDxI","Haley Whiteside Design","No Value"," +1 707-928-0419 ","Address: 31831 Airport Rd, Fort Bragg, CA 95437, United States ","https://www.google.com/maps/place/Haley+Whiteside+Design/data=!4m7!3m6!1s0x8081cb303d01d4d9:0x120febbf1e3d0a27!8m2!3d39.4599209!4d-123.78012!16s%2Fg%2F11tg7csg8l!19sChIJ2dQBPTDLgYARJwo9Hr_rDxI?authuser=0&hl=en&rclk=1",undefined
"ChIJDUXLgRN5mFQRZbyU4OFqfPE","Polished Home Interior Design","https://www.polishedhomeinteriordesign.com/"," +1 509-820-5573 ","Address: 2312 S Ely St, Kennewick, WA 99337, United States ","https://www.google.com/maps/place/Polished+Home+Interior+Design/data=!4m7!3m6!1s0x5498791381cb450d:0xf17c6ae1e094bc65!8m2!3d46.1871884!4d-119.1605967!16s%2Fg%2F11j20tg_n8!19sChIJDUXLgRN5mFQRZbyU4OFqfPE?authuser=0&hl=en&rclk=1",undefined
"ChIJ7RYLmMX4iwMRz2FLVnLN_GA","Annmari's Design LLC","http://www.annmarisdesign.com/"," +1 509-587-1170 ","No Value","https://www.google.com/maps/place/Annmari%27s+Design+LLC/data=!4m7!3m6!1s0x38bf8c5980b16ed:0x60fccd72564b61cf!8m2!3d46.2653155!4d-119.4167016!16s%2Fg%2F11ry6_fcv1!19sChIJ7RYLmMX4iwMRz2FLVnLN_GA?authuser=0&hl=en&rclk=1",annmaridesign@outlook.com
"ChIJ2283F7BTG2ARvAyec_0rBY0","Gatewood Designs","https://www.gatewood-designs.com/"," +1 509-380-1773 ","No Value","https://www.google.com/maps/place/Gatewood+Designs/data=!4m7!3m6!1s0x601b53b017376fdb:0x8d052bfd739e0cbc!8m2!3d46.2032179!4d-119.0312235!16s%2Fg%2F11jszt_t3l!19sChIJ2283F7BTG2ARvAyec_0rBY0?authuser=0&hl=en&rclk=1",undefined
"ChIJ8f24gyVlDkERVvTn00rBIes","LivGray Designs","http://www.livgraydesigns.com/"," +1 509-627-9782 ","No Value","https://www.google.com/maps/place/LivGray+Designs/data=!4m7!3m6!1s0x410e652583b8fdf1:0xeb21c14ad3e7f456!8m2!3d46.2032179!4d-119.0312235!16s%2Fg%2F11pv0tl3hx!19sChIJ8f24gyVlDkERVvTn00rBIes?authuser=0&hl=en&rclk=1",contact@gracefilledinteriors.com, contact@livgraydesigns.com
"ChIJCbBrvfePyYoR6qLDdHPYbrM","KANO & CO. Interior Design Consulting","https://www.kanoandcodesigns.com/","No value","No Value","https://www.google.com/maps/place/KANO+%26+CO.+Interior+Design+Consulting/data=!4m7!3m6!1s0x8ac98ff7bd6bb009:0xb36ed87374c3a2ea!8m2!3d46.2653155!4d-119.2568465!16s%2Fg%2F11p0gkw2p2!19sChIJCbBrvfePyYoR6qLDdHPYbrM?authuser=0&hl=en&rclk=1",kailee@kanoandcodesigns.com
"ChIJU1i8J9t2mFQRKg-SB1E8IEw","Harper Drake Home Hayley Christian","http://harperdrakehome.com/"," +1 509-947-8119 ","No Value","https://www.google.com/maps/place/Harper+Drake+Home+Hayley+Christian/data=!4m7!3m6!1s0x549876db27bc5853:0x4c203c5107920f2a!8m2!3d46.2653155!4d-119.2118925!16s%2Fg%2F11hbqq63vg!19sChIJU1i8J9t2mFQRKg-SB1E8IEw?authuser=0&hl=en&rclk=1",hayley@harperdrakehome.com
"ChIJazp5eyv-gGARpnoVzj4Qsy0","Rebekah Interior Design","http://www.rebekahinteriordesign.com/"," +1 509-318-0366 ","No Value","https://www.google.com/maps/place/Rebekah+Interior+Design/data=!4m7!3m6!1s0x6080fe2b7b793a6b:0x2db3103ece157aa6!8m2!3d46.2874524!4d-119.0375535!16s%2Fg%2F11sn81t3lk!19sChIJazp5eyv-gGARpnoVzj4Qsy0?authuser=0&hl=en&rclk=1",rebekahsinteriordesign@gmail.com
"ChIJ8wq476VwmFQRsSc7_7KFW7g","Sakalaukus Interior Designs","http://www.sakalaukus.design/"," +1 509-416-6838 ","No Value","https://www.google.com/maps/place/Sakalaukus+Interior+Designs/data=!4m7!3m6!1s0x549870a5efb80af3:0xb85b85b2ff3b27b1!8m2!3d47.2729926!4d-120.8825225!16s%2Fg%2F11bxfwhrwd!19sChIJ8wq476VwmFQRsSc7_7KFW7g?authuser=0&hl=en&rclk=1",sarah@sakalaukus.design
"ChIJQa83HbxrpikR3j5ZHcZJgzo","Absolute Home Staging","http://absolutehomestaging.com/"," +1 425-954-0555 ","No Value","https://www.google.com/maps/place/Absolute+Home+Staging/data=!4m7!3m6!1s0x29a66bbc1d37af41:0x3a8349c61d593ede!8m2!3d46.2653155!4d-119.533944!16s%2Fg%2F11s5z76847!19sChIJQa83HbxrpikR3j5ZHcZJgzo?authuser=0&hl=en&rclk=1",kschmidt@absolutehomestaging.com
